Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Net Amount,VAT Amount,Gross Amount,Description,Project Code,Expenditure Type
Defra,Forestry Commission,2021/11/23,Private Woodland Grants,Etpp - Sustainable Forest Man.,London Borough Of Barnet,1858,30771.25,0.00,30771.25,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/04,Private Woodland Grants,Etpp - Sustainable Forest Man.,London Borough Of Croydon,1797,44291.25,0.00,44291.25,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/04,Private Woodland Grants,Etpp - Sustainable Forest Man.,London Borough Of Lewisham,1801,28239.00,0.00,28239.00,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/30,Private Woodland Grants,Etpp - Sustainable Forest Man.,London Borough Of Redbridge,1865,55000.50,0.00,55000.50,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/09,Private Woodland Grants,Etpp - Sustainable Forest Man.,Luton Borough Council,1833,52099.00,0.00,52099.00,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/04,Private Woodland Grants,Etpp - Sustainable Forest Man.,Milton Keynes Council,1798,63400.00,0.00,63400.00,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/25,Private Woodland Grants,Etpp - Sustainable Forest Man.,North Northamptonshire Council,1855,28272.05,0.00,28272.05,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/04,Private Woodland Grants,Etpp - Sustainable Forest Man.,Northumberland County Council,1796,29327.30,0.00,29327.30,Private Woodland Grants,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/04,Private Woodland Grants,Etpp - Sustainable Forest Man.,Nottinghamshire County Council,1800,96168.75,0.00,96168.75,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/30,Private Woodland Grants,Etpp - Sustainable Forest Man.,Penfold'S Woodland Management Ltd,13091,25801.02,0.00,25801.02,Private Woodland Grants - Wim Area Led Projects,Wim Area Led Projects,Prog 
Defra,Forestry Commission,2021/11/04,Private Woodland Grants,Etpp - Sustainable Forest Man.,Peterborough City Council,1787,51125.25,0.00,51125.25,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/11,Private Woodland Grants,Etpp - Sustainable Forest Man.,Somerset County Council,1836,74337.30,0.00,74337.30,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/09,Private Woodland Grants,Etpp - Sustainable Forest Man.,Stockton On Tees Borough Council,1825,41881.00,0.00,41881.00,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/30,Private Woodland Grants,Etpp - Sustainable Forest Man.,Suffolk County Council,1866,41497.03,0.00,41497.03,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
Defra,Forestry Commission,2021/11/09,Private Woodland Grants,Etpp - Sustainable Forest Man.,Telford & Wrekin Council,1822,47962.50,0.00,47962.50,Private Woodland Grants - Local Authority Treescape Fund ,Local Authority Treescape Fund ,Prog 
